model,train_Acc,train_AUC,test_Acc,test_AUC
Mean_PCA_ANOVA_1_SVM,0.3636,0.3716,0.3643,0.3726
Mean_PCA_ANOVA_1_LDA,0.5328,0.6284,0.531,0.6274
Mean_PCA_ANOVA_1_AE,0.5328,0.6284,0.531,0.6274
Mean_PCA_ANOVA_1_RF,0.9997,1.0,0.5656,0.5669
Mean_PCA_ANOVA_1_LR,0.5328,0.6284,0.531,0.6274
Mean_PCA_ANOVA_1_AB,0.5332,0.6363,0.5302,0.6118
Mean_PCA_ANOVA_1_DT,0.9997,1.0,0.5656,0.5285
Mean_PCA_ANOVA_1_NB,0.532,0.6101,0.5321,0.622
Mean_PCA_ANOVA_2_SVM,0.3636,0.3716,0.3643,0.3726
Mean_PCA_ANOVA_2_LDA,0.6112,0.6745,0.6061,0.6594
Mean_PCA_ANOVA_2_AE,0.5328,0.6284,0.531,0.6274
Mean_PCA_ANOVA_2_RF,0.9997,1.0,0.5656,0.5669
Mean_PCA_ANOVA_2_LR,0.5328,0.6284,0.531,0.6274
Mean_PCA_ANOVA_2_AB,0.5332,0.6363,0.5302,0.6118
Mean_PCA_ANOVA_2_DT,0.9997,1.0,0.5656,0.5285
Mean_PCA_ANOVA_2_NB,0.532,0.6101,0.5321,0.622
Mean_PCA_ANOVA_3_SVM,0.5854,0.603,0.5726,0.5847
Mean_PCA_ANOVA_3_LDA,0.6603,0.7057,0.648,0.6848
Mean_PCA_ANOVA_3_AE,0.6213,0.704,0.6029,0.6845
Mean_PCA_ANOVA_3_RF,1.0,1.0,0.6199,0.6298
Mean_PCA_ANOVA_3_LR,0.6316,0.6962,0.6242,0.6804
Mean_PCA_ANOVA_3_AB,0.6445,0.703,0.6201,0.6702
Mean_PCA_ANOVA_3_DT,1.0,1.0,0.5779,0.5466
Mean_PCA_ANOVA_3_NB,0.6152,0.6817,0.6118,0.672
Mean_PCA_ANOVA_4_SVM,0.5854,0.603,0.5726,0.5847
Mean_PCA_ANOVA_4_LDA,0.645,0.7069,0.6306,0.6876
Mean_PCA_ANOVA_4_AE,0.6278,0.7028,0.6101,0.6837
Mean_PCA_ANOVA_4_RF,1.0,1.0,0.6171,0.6273
Mean_PCA_ANOVA_4_LR,0.6316,0.6962,0.6242,0.6804
Mean_PCA_ANOVA_4_AB,0.6445,0.703,0.6201,0.6702
Mean_PCA_ANOVA_4_DT,1.0,1.0,0.5762,0.5449
Mean_PCA_ANOVA_4_NB,0.6152,0.6817,0.6118,0.672
Mean_PCA_ANOVA_5_SVM,0.5854,0.603,0.5726,0.5847
Mean_PCA_ANOVA_5_LDA,0.6418,0.7197,0.6225,0.699
Mean_PCA_ANOVA_5_AE,0.6245,0.7022,0.6084,0.6839
Mean_PCA_ANOVA_5_RF,1.0,1.0,0.6161,0.6293
Mean_PCA_ANOVA_5_LR,0.6316,0.6962,0.6242,0.6804
Mean_PCA_ANOVA_5_AB,0.6445,0.703,0.6201,0.6702
Mean_PCA_ANOVA_5_DT,1.0,1.0,0.5786,0.547
Mean_PCA_ANOVA_5_NB,0.6152,0.6817,0.6118,0.672
Mean_PCA_ANOVA_6_SVM,0.6499,0.7087,0.6459,0.6974
Mean_PCA_ANOVA_6_LDA,0.6541,0.7297,0.6423,0.7111
Mean_PCA_ANOVA_6_AE,0.6453,0.7049,0.6463,0.6956
Mean_PCA_ANOVA_6_RF,1.0,1.0,0.6376,0.6797
Mean_PCA_ANOVA_6_LR,0.6435,0.7098,0.6421,0.697
Mean_PCA_ANOVA_6_AB,0.6622,0.7168,0.6429,0.6891
Mean_PCA_ANOVA_6_DT,1.0,1.0,0.6026,0.5744
Mean_PCA_ANOVA_6_NB,0.628,0.6935,0.6282,0.6838
Mean_PCA_ANOVA_7_SVM,0.6422,0.7144,0.634,0.6996
Mean_PCA_ANOVA_7_LDA,0.6379,0.7286,0.6244,0.7103
Mean_PCA_ANOVA_7_AE,0.655,0.751,0.6374,0.7298
Mean_PCA_ANOVA_7_RF,1.0,1.0,0.6485,0.71
Mean_PCA_ANOVA_7_LR,0.6307,0.7157,0.6212,0.6994
Mean_PCA_ANOVA_7_AB,0.6559,0.7347,0.6312,0.6962
Mean_PCA_ANOVA_7_DT,1.0,1.0,0.6214,0.5903
Mean_PCA_ANOVA_7_NB,0.6192,0.6954,0.6176,0.6826
Mean_PCA_ANOVA_8_SVM,0.6422,0.7144,0.634,0.6996
Mean_PCA_ANOVA_8_LDA,0.6565,0.7317,0.6444,0.7122
Mean_PCA_ANOVA_8_AE,0.6465,0.7502,0.6297,0.7278
Mean_PCA_ANOVA_8_RF,1.0,1.0,0.6519,0.714
Mean_PCA_ANOVA_8_LR,0.6307,0.7157,0.6212,0.6994
Mean_PCA_ANOVA_8_AB,0.6559,0.7347,0.6312,0.6962
Mean_PCA_ANOVA_8_DT,1.0,1.0,0.6223,0.593
Mean_PCA_ANOVA_8_NB,0.6192,0.6954,0.6176,0.6826
Mean_PCA_ANOVA_9_SVM,0.6623,0.7206,0.6463,0.6925
Mean_PCA_ANOVA_9_LDA,0.6469,0.7333,0.6299,0.7075
Mean_PCA_ANOVA_9_AE,0.6534,0.7572,0.6323,0.7298
Mean_PCA_ANOVA_9_RF,1.0,1.0,0.6525,0.719
Mean_PCA_ANOVA_9_LR,0.6562,0.724,0.6417,0.701
Mean_PCA_ANOVA_9_AB,0.6484,0.7389,0.624,0.6974
Mean_PCA_ANOVA_9_DT,1.0,1.0,0.6255,0.5936
Mean_PCA_ANOVA_9_NB,0.6267,0.7081,0.6197,0.6902
Mean_PCA_ANOVA_10_SVM,0.6648,0.7337,0.6374,0.7054
Mean_PCA_ANOVA_10_LDA,0.6524,0.7381,0.6331,0.7124
